                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                  1.091,                0.95575,                  1.309,                0.30972,                0.88378,                0.34218,                0.21838,                 1.2376,                 1.8937,                 1.5146,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0884,                0.92701,                 1.3192,                0.32824,                0.86375,                0.36034,                0.23659,                 1.2403,                 2.0043,                 1.5156,                0.00101,                0.00101,                0.00101
                     53,                 1.0702,                0.88013,                 1.2908,                0.31166,                0.84848,                0.36141,                0.22924,                 1.3282,                 1.9894,                 1.5998,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0613,                 0.9072,                 1.2923,                0.30641,                0.79798,                0.35151,                0.22052,                 1.2611,                 2.0595,                  1.545,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1031,                 0.9357,                 1.3137,                0.31367,                0.85859,                0.32549,                0.20071,                 1.2966,                 1.9733,                 1.6251,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0459,                0.90012,                  1.294,                0.31685,                0.80808,                0.31148,                0.20475,                 1.2805,                 2.0593,                 1.5815,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0381,                0.87519,                 1.2916,                0.33163,                0.86869,                 0.3363,                0.21799,                 1.2334,                 1.9343,                 1.5543,               0.000911,               0.000911,               0.000911
                     58,                 1.0332,                0.86365,                 1.2653,                0.31572,                0.84848,                0.32675,                0.21283,                 1.2396,                 2.0762,                 1.5541,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0268,                0.87829,                 1.2851,                0.30915,                0.92212,                0.33475,                0.21666,                 1.2308,                  1.939,                 1.5206,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0179,                0.90416,                 1.2782,                0.31515,                0.87879,                0.33372,                0.21937,                 1.2907,                 1.9591,                 1.5677,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0215,                0.88579,                 1.2635,                0.31868,                0.83838,                0.33426,                0.21553,                 1.2427,                 1.9879,                 1.5204,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0097,                0.85606,                 1.2451,                0.29778,                0.84848,                0.32657,                0.20867,                 1.2687,                 2.1349,                 1.5615,               0.000812,               0.000812,               0.000812
                     63,                0.99326,                 0.8443,                 1.2548,                0.31968,                0.80808,                 0.3504,                0.22792,                 1.2821,                 2.1113,                 1.5857,              0.0007922,              0.0007922,              0.0007922
                     64,                0.97689,                0.83518,                 1.2447,                0.29712,                0.86869,                0.33703,                0.20967,                 1.3075,                 1.9674,                 1.6184,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.9489,                0.83295,                 1.2556,                 0.3151,                0.83838,                0.33749,                0.20246,                 1.3713,                 2.4162,                 1.7025,              0.0007526,              0.0007526,              0.0007526
                     66,                0.98168,                 0.8308,                 1.2547,                0.33166,                0.88889,                0.38709,                0.25097,                 1.2744,                 2.0128,                  1.555,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0115,                0.86602,                  1.266,                0.32132,                0.82828,                 0.3422,                0.22008,                 1.2905,                 1.9954,                 1.5854,               0.000713,               0.000713,               0.000713
                     68,                 1.0113,                0.84232,                 1.2688,                0.31563,                0.82922,                0.33089,                0.20315,                 1.2765,                 2.1794,                 1.5719,              0.0006932,              0.0006932,              0.0006932
                     69,                0.97076,                0.81386,                 1.2309,                0.32742,                0.90909,                0.37591,                0.24842,                  1.255,                 2.0222,                 1.5695,              0.0006734,              0.0006734,              0.0006734
                     70,                0.94381,                0.81605,                 1.2307,                0.31614,                0.91919,                0.35205,                0.23059,                 1.1866,                 1.9478,                 1.5031,              0.0006536,              0.0006536,              0.0006536
                     71,                0.94705,                0.77674,                 1.2232,                0.31723,                0.83838,                0.37035,                0.23642,                 1.2309,                 2.1057,                 1.5649,              0.0006338,              0.0006338,              0.0006338
                     72,                0.97867,                0.83359,                 1.2528,                0.30724,                0.89595,                0.31862,                0.20802,                 1.2125,                 1.9128,                 1.5079,               0.000614,               0.000614,               0.000614
                     73,                0.94454,                  0.801,                 1.2191,                0.32214,                0.84848,                0.32123,                0.19743,                 1.3049,                 2.2392,                  1.599,              0.0005942,              0.0005942,              0.0005942
                     74,                0.92118,                0.79767,                   1.21,                0.32881,                0.84848,                0.32634,                0.20824,                 1.3119,                 2.1457,                 1.6549,              0.0005744,              0.0005744,              0.0005744
                     75,                0.94258,                0.78892,                 1.2275,                 0.3168,                0.88889,                0.30749,                0.19681,                 1.2849,                 2.1222,                 1.6216,              0.0005546,              0.0005546,              0.0005546
                     76,                0.92769,                 0.7607,                 1.2143,                0.31231,                0.84848,                0.32603,                0.20693,                 1.2776,                 2.2009,                 1.5697,              0.0005348,              0.0005348,              0.0005348
                     77,                0.94559,                 0.7697,                 1.2236,                0.31495,                0.83838,                 0.3089,                0.19994,                  1.274,                 2.1475,                 1.5813,               0.000515,               0.000515,               0.000515
                     78,                0.90955,                0.79379,                 1.2129,                0.31628,                0.88889,                 0.3369,                0.21781,                 1.2569,                 2.1319,                   1.55,              0.0004952,              0.0004952,              0.0004952
                     79,                0.90297,                0.78245,                 1.2224,                0.32353,                0.89855,                0.34564,                0.22591,                 1.2478,                  2.169,                 1.5495,              0.0004754,              0.0004754,              0.0004754
                     80,                 0.8803,                0.75873,                 1.1893,                0.32834,                0.83838,                0.35177,                0.22848,                 1.2991,                 2.0336,                 1.5822,              0.0004556,              0.0004556,              0.0004556
                     81,                0.89684,                0.78016,                 1.2061,                0.33107,                0.81818,                0.33648,                0.22097,                 1.2072,                 2.0596,                 1.5124,              0.0004358,              0.0004358,              0.0004358
                     82,                0.87031,                 0.7323,                  1.186,                0.33769,                0.87879,                0.35729,                0.23571,                 1.2589,                  2.218,                 1.5654,               0.000416,               0.000416,               0.000416
                     83,                0.89037,                0.76317,                 1.1974,                0.32407,                0.85859,                0.32817,                0.21692,                  1.253,                 2.1574,                 1.5578,              0.0003962,              0.0003962,              0.0003962
                     84,                0.85239,                0.71109,                 1.1736,                0.32734,                0.80808,                0.33386,                0.21661,                 1.2794,                 2.2976,                  1.581,              0.0003764,              0.0003764,              0.0003764
                     85,                0.89311,                0.75176,                 1.1963,                0.32815,                 0.8683,                0.31642,                0.20025,                   1.31,                 2.1488,                 1.6488,              0.0003566,              0.0003566,              0.0003566
                     86,                0.89041,                0.75226,                 1.2011,                0.33696,                0.82828,                 0.3364,                0.21808,                 1.2652,                 2.2379,                 1.5671,              0.0003368,              0.0003368,              0.0003368
                     87,                0.84781,                0.72069,                 1.1655,                0.32285,                0.77778,                0.33073,                0.21338,                 1.2868,                 2.3014,                 1.6102,               0.000317,               0.000317,               0.000317
                     88,                0.83757,                0.69742,                  1.172,                0.33695,                0.82828,                0.34199,                0.22377,                 1.2535,                  2.322,                 1.5706,              0.0002972,              0.0002972,              0.0002972
                     89,                0.84233,                0.70681,                 1.1705,                0.32158,                0.81818,                 0.3414,                0.22133,                  1.276,                 2.1775,                 1.5999,              0.0002774,              0.0002774,              0.0002774
